,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2634,PORK SKINS PLAIN,1.8,544,61.3,31.3,5.4,0.0,0.0,0.0,30.0,0.88,11.0,85.0,127.0,1818.0,0.56,0.094,0.069,41.0,0.5,0.099,0.283,1.549,0.43,0.023,0.0,0.0,0.0,0.0,164.5,0.64,40.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,11.37,14.78,3.64,95.0,28.35,1 oz,14.2,.5 oz,0.0
2635,PORK TURKEY SAUSAGE PRE COOKED,50.68,342,12.05,30.64,3.01,3.63,0.0,0.0,74.0,1.3,25.0,136.0,230.0,876.0,1.34,0.113,0.239,0.0,0.7,0.089,0.099,2.73,0.49,0.124,10.0,0.0,10.0,10.0,,0.58,102.0,21.0,19.0,11.0,11.0,11.0,11.0,71.0,0.52,,,5.7,9.881,13.054,4.504,72.0,57.0,1 serving,,,0.0
2636,POTATO CHIPS BARBECUE FLAVOR,2.48,487,6.51,31.06,4.03,55.92,3.8,5.47,32.0,1.36,58.0,145.0,1186.0,545.0,0.98,0.247,0.385,0.4,62.4,0.221,0.119,4.957,0.85,0.375,64.0,0.0,64.0,64.0,11.5,0.0,393.0,20.0,0.0,5.0,203.0,60.0,130.0,151.0,4.42,0.0,0.0,16.1,4.002,13.221,12.207,0.0,28.35,1 oz,198.0,"1 bag,  (7 oz)",0.0
2637,POTATO CHIPS CHEESE FLAVOR,1.8,496,8.5,27.2,4.8,57.7,5.2,,72.0,1.84,75.0,299.0,1528.0,458.0,0.91,0.25,0.446,,54.1,0.155,0.158,5.0,0.79,0.348,0.0,0.0,0.0,0.0,,0.0,33.0,10.0,10.0,,,,,,,,,,8.6,7.72,9.56,4.0,28.35,1 oz,170.0,"1 bag,  (6 oz)",0.0
2638,POTATO CHIPS DRIED POTATOES LIGHT,2.22,502,4.56,26.14,2.31,64.76,3.2,0.63,29.0,1.11,45.0,129.0,760.0,450.0,0.7,0.153,0.361,2.9,12.0,0.212,0.015,3.595,0.83,0.412,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,7.2,6.759,4.553,12.201,0.0,28.35,1 oz,170.0,"1 can,  (6 oz)",0.0
2639,POTATO CHIPS DRIED POTATOES PLAIN,2.37,545,4.62,35.28,2.34,55.38,2.9,0.76,17.0,0.8,40.0,110.0,637.0,400.0,0.58,0.136,0.26,0.4,1.2,0.21,0.07,2.653,0.595,0.493,19.0,0.0,19.0,19.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72,0.0,0.0,7.2,8.643,6.14,15.502,0.0,28.0,1 oz,26.0,16 chips,0.0
2640,POTATO CHIPS FAT FREE SALTED,2.0,379,9.64,0.6,4.0,83.76,7.5,3.69,35.0,3.57,70.0,167.0,1628.0,643.0,0.74,0.174,,8.1,9.3,1.08,0.115,6.446,,0.8,45.0,0.0,45.0,45.0,54.1,0.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,39.0,0.04,0.0,0.0,9.1,0.15,0.015,0.255,0.0,28.35,1 oz,227.0,"1 bag,  (8 oz)",0.0
2641,POTATO CHIPS PLAIN SALTED,1.86,532,6.39,33.98,3.94,53.83,3.1,0.33,21.0,1.28,63.0,153.0,1196.0,527.0,1.09,0.234,0.43,2.5,21.6,0.213,0.088,4.762,0.956,0.531,29.0,0.0,29.0,29.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,22.1,3.4,18.963,8.282,0.0,28.0,1 oz,28.0,22 chips,0.0
2642,POTATO CHIPS PLAIN UNSALTED,1.9,536,7.0,34.6,3.6,52.9,4.8,0.22,24.0,1.63,67.0,165.0,1275.0,8.0,1.09,0.306,0.44,8.1,31.1,0.167,0.197,3.827,0.402,0.66,45.0,0.0,45.0,45.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,22.1,10.96,9.84,12.17,0.0,28.35,1 oz,227.0,"1 bag,  (8 oz)",0.0
2643,POTATO CHIPS SALT REDUCED FAT,1.0,487,7.1,20.8,3.3,67.8,6.1,0.22,21.0,1.35,89.0,193.0,1744.0,8.0,1.01,0.348,,8.1,25.7,0.21,0.27,7.0,,0.67,10.0,0.0,10.0,10.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,13.3,4.16,4.8,10.94,0.0,28.35,1 oz,,,0.0
2644,POTATO CHIPS WHITE RESTRUCTURED BAKED,1.4,469,5.0,18.2,3.98,71.4,4.8,5.01,125.0,0.8,43.0,274.0,721.0,554.0,0.45,0.104,,8.1,0.0,0.34,0.07,4.09,,0.51,0.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,7.2,2.631,9.91,4.234,0.0,34.0,1 cup,12.0,10 chips,0.0
2645,POTATO FLOUR,6.52,357,6.9,0.34,3.14,83.1,5.9,3.52,65.0,1.38,65.0,168.0,1001.0,55.0,0.54,0.197,0.313,1.1,3.8,0.228,0.051,3.507,0.474,0.769,25.0,0.0,25.0,25.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.09,0.008,0.15,0.0,160.0,1 cup,,,0.0
2646,POTATO PANCAKES,47.77,268,6.08,14.76,3.59,27.81,3.3,1.79,32.0,1.67,36.0,128.0,622.0,764.0,0.7,0.18,0.26,8.9,27.6,0.158,0.173,1.672,0.757,0.448,41.0,6.0,35.0,45.0,74.2,0.29,113.0,32.0,31.0,0.0,4.0,2.0,0.0,87.0,0.23,0.3,11.0,2.7,2.496,3.73,7.516,95.0,22.0,"1 small,  2-3/4 in. dia., 5/8 in. thick.",37.0,"1 medium,  3-1/4 in. x 3-5/8 in., 5/8 in. thick.",0.0
2647,POTATO PUFFS FROZEN OVEN HEATED,59.65,192,2.13,9.05,1.89,27.29,2.0,0.27,14.0,0.58,17.0,84.0,287.0,463.0,0.3,0.079,0.127,0.4,4.0,0.069,0.037,1.449,0.32,0.121,23.0,0.0,23.0,23.0,25.4,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.26,0.0,0.0,3.7,1.657,4.544,2.354,0.0,79.0,10 puffs,60.0,10 Crispy Crowns,0.0
2648,POTATO PUFFS FROZEN UNPREPARED,62.8,178,1.93,8.71,1.75,24.8,2.3,0.28,13.0,0.47,16.0,64.0,247.0,428.0,0.26,0.075,0.111,0.3,6.9,0.184,0.061,1.815,0.583,0.194,17.0,0.0,17.0,17.0,24.9,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.11,0.0,0.0,2.5,1.418,3.376,3.14,0.0,120.0,1 cup,91.0,10 pieces,0.0
2649,POTATO SALAD EGG,70.99,157,1.96,9.4,1.47,16.18,1.3,4.95,15.0,0.5,15.0,53.0,242.0,329.0,0.33,0.041,0.112,2.4,0.8,0.032,0.017,0.8,0.443,0.115,13.0,0.0,13.0,13.0,18.2,0.07,163.0,19.0,13.0,5.0,67.0,3.0,0.0,43.0,0.68,0.1,4.0,14.3,1.437,2.0,4.983,17.0,125.0,.5 cup,,,0.0
2650,POTATO SALAD HOME PREPARED,76.0,143,2.68,8.2,1.95,11.17,1.3,,19.0,0.65,15.0,52.0,254.0,529.0,0.31,0.118,0.101,4.1,10.0,0.077,0.06,0.89,0.534,0.141,7.0,0.0,7.0,7.0,,0.0,157.0,32.0,29.0,,36.0,,,,,0.0,0.0,,1.429,2.48,3.737,68.0,250.0,1 cup,,,0.0
2651,POTATO SOUP INSTANT DRY MIX,5.8,343,9.2,3.1,5.76,76.14,7.6,10.0,172.0,2.38,62.0,279.0,1248.0,2400.0,0.91,0.25,,12.3,16.0,0.11,0.22,4.27,,0.16,61.0,4.0,57.0,64.0,56.3,0.0,60.0,3.0,0.0,7.0,32.0,0.0,2.0,59.0,0.54,0.0,0.0,13.9,0.613,1.185,1.025,12.0,39.0,"1 serving, 1/3 cup",,,0.0
2652,POTATOES BAKED FLESH SALT,75.42,93,1.96,0.1,0.97,21.55,1.5,1.7,5.0,0.35,25.0,50.0,391.0,5.0,0.29,0.215,0.161,0.3,12.8,0.105,0.021,1.395,0.555,0.301,9.0,0.0,9.0,9.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.3,0.026,0.002,0.043,0.0,61.0,.5 cup,156.0,"1 potato,  (2-1/3"" x 4-3/4"")",23.0
2653,POTATOES BAKED FLESH SKIN SALT,74.89,93,2.5,0.13,1.33,21.15,2.2,1.18,15.0,1.08,28.0,70.0,535.0,10.0,0.36,0.118,0.219,0.4,9.6,0.064,0.048,1.41,0.376,0.311,28.0,0.0,28.0,28.0,14.8,0.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,30.0,0.04,0.0,0.0,2.0,0.034,0.003,0.057,0.0,148.0,1 NLEA serving,299.0,"1 potato, large",0.0
2654,POTATOES BAKED SKIN SALT,47.31,198,4.29,0.1,2.24,46.06,7.9,1.4,34.0,7.04,43.0,101.0,573.0,21.0,0.49,0.817,0.616,0.7,13.5,0.122,0.106,3.065,0.857,0.614,22.0,0.0,22.0,22.0,31.0,0.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,30.0,0.04,0.0,0.0,1.7,0.026,0.002,0.043,0.0,58.0,1 skin,,,0.0
2655,POTATOES CANNED,87.83,44,1.2,0.11,0.98,9.89,1.4,,39.0,0.72,14.0,22.0,205.0,217.0,0.39,0.07,0.071,0.7,7.6,0.034,0.02,0.889,0.174,0.137,5.0,0.0,5.0,5.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.029,0.002,0.048,0.0,300.0,"1 cup, whole",454.0,"1 can,  (303 x 406)",0.0
2656,POTATOES CANNED DRAINED SOLIDS,84.28,60,1.41,0.21,0.86,13.61,2.3,,5.0,1.26,14.0,28.0,229.0,219.0,0.28,0.057,0.097,0.9,5.1,0.068,0.013,0.915,0.354,0.188,6.0,0.0,6.0,6.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.054,0.005,0.089,0.0,180.0,1 cup,35.0,1 potato,0.0
2657,POTATOES CANNED DRAINED SOLIDS SALT,84.3,62,1.4,0.2,0.5,13.6,2.4,0.59,5.0,1.26,14.0,28.0,229.0,5.0,0.28,0.057,0.12,0.9,5.1,0.07,0.01,0.92,0.245,0.19,6.0,0.0,6.0,6.0,9.2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.05,0.0,0.0,1.5,0.051,0.005,0.085,0.0,180.0,1 cup,,,0.0
2658,POTATOES FLESH SKIN RAW,79.25,77,2.05,0.09,1.11,17.49,2.1,0.82,12.0,0.81,23.0,57.0,425.0,6.0,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15.0,0.0,15.0,15.0,12.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.01,0.0,0.0,2.0,0.025,0.002,0.042,0.0,75.0,".5 cup, diced",369.0,"1 Potato, large (3"" to 4-1/4"" dia)",25.0
2659,POTATOES FROZEN PREPARED,61.96,204,2.22,13.21,0.75,21.86,1.7,,20.0,0.96,34.0,93.0,473.0,43.0,0.55,0.241,0.226,1.2,10.4,0.052,0.135,1.448,0.732,0.377,12.0,0.0,12.0,12.0,,0.0,188.0,9.0,0.0,,,,,,,0.0,0.0,,3.313,5.824,3.474,0.0,,,,,0.0
2660,POTATOES FROZEN UNPREPARED,79.97,76,1.83,0.14,0.6,17.47,1.9,,13.0,1.03,18.0,49.0,249.0,33.0,0.29,0.127,0.119,1.2,11.3,0.054,0.045,1.129,0.428,0.209,8.0,0.0,8.0,8.0,,0.0,148.0,7.0,0.0,,,,,,,0.0,0.0,,0.032,0.006,0.061,,,,,,0.0
2661,POTATOES HASH BROWN HOME PREPARED,47.25,265,3.0,12.52,2.12,35.11,3.2,1.49,14.0,0.55,35.0,70.0,576.0,342.0,0.47,0.293,0.247,0.5,13.0,0.172,0.033,2.302,0.893,0.472,16.0,0.0,16.0,16.0,23.2,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.01,0.0,0.0,3.7,1.883,5.299,4.703,0.0,156.0,1 cup,,,0.0
2662,POTATOES HASH BROWN REFRIGERATED UNPREPARED,77.82,84,1.75,0.08,1.19,19.16,1.8,0.91,6.0,0.48,19.0,70.0,425.0,42.0,0.38,0.062,0.14,2.9,4.9,0.027,0.022,1.777,0.555,0.257,,,,,14.5,0.0,,,,,,,,,0.07,0.0,0.0,0.4,,,,0.0,159.0,"1 cup, unprepared",,,0.0
2663,POTATOES HOME PREPARED,79.6,81,2.35,1.28,1.29,15.47,,,36.0,0.47,18.0,50.0,266.0,217.0,0.3,0.129,0.121,1.2,16.7,0.075,0.056,1.008,0.436,0.213,8.0,0.0,8.0,8.0,,0.0,481.0,,,,,,,,,0.0,0.0,,0.797,0.347,0.055,4.0,194.0,1 cup,1162.0,"1 recipe,  yield",0.0
2664,POTATOES MASHED PREPARED GRANULES MILK,77.48,108,2.05,4.93,1.14,14.4,2.2,,35.0,0.19,19.0,60.0,145.0,263.0,0.24,0.022,0.003,0.5,6.0,0.079,0.077,0.763,0.127,0.01,7.0,0.0,7.0,7.0,,0.0,213.0,44.0,40.0,,48.0,,,,,0.0,0.0,,1.284,2.041,1.363,3.0,210.0,1 cup,,,0.0
2665,POTATOES MASHED READY EAT,78.27,106,1.97,5.01,1.46,13.29,1.9,1.76,34.0,0.27,14.0,61.0,274.0,298.0,0.3,0.011,0.091,26.9,0.1,0.085,0.088,1.02,0.405,0.109,6.0,0.0,6.0,6.0,14.3,0.22,205.0,53.0,52.0,0.0,19.0,0.0,0.0,0.0,0.29,0.1,2.0,2.4,2.632,1.236,0.684,13.0,229.0,1 cup,700.0,1 container,0.0
2666,POTATOES MICROWAVED COOKED SKIN SALT,72.04,105,2.44,0.1,1.18,24.24,2.3,,11.0,1.24,27.0,105.0,447.0,8.0,0.36,0.334,0.292,0.4,15.1,0.12,0.032,1.714,0.454,0.344,12.0,0.0,12.0,12.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.026,0.002,0.043,0.0,202.0,"1 potato,  (2-3/4"" dia by 4-3/4"" long)",,,0.0
2667,POTATOES RAW SKIN,83.29,58,2.57,0.1,1.61,12.44,2.5,,30.0,3.24,23.0,38.0,413.0,10.0,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17.0,0.0,17.0,17.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.026,0.002,0.043,0.0,38.0,1 skin,,,0.0
2668,POTATOES REDUCED FLESH SKIN BAKED,76.67,89,2.3,0.15,1.29,19.59,1.8,1.43,9.0,0.7,28.0,72.0,545.0,12.0,0.4,0.174,0.173,,12.6,0.072,0.05,1.595,0.341,0.212,27.0,0.0,27.0,27.0,18.9,0.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,27.0,0.08,0.0,0.0,2.8,0.026,0.002,0.043,0.0,299.0,"1 potato, large (3"" to 4-1/4"" dia.",173.0,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0.0
2669,POTATOES REDUCED FLESH SKIN RAW,80.96,70,1.89,0.14,1.1,15.9,1.7,1.29,10.0,0.73,22.0,61.0,455.0,18.0,0.33,0.134,0.141,0.5,8.6,0.081,0.031,1.149,0.279,0.17,18.0,0.0,18.0,18.0,16.4,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.01,0.0,0.0,2.9,0.035,0.003,0.059,0.0,75.0,".5 cup, diced",369.0,"1 potato, large (3"" to 4-1/4"" dia)",25.0
2670,POTATOES RUSSET FLESH SKIN BAKED,74.45,97,2.63,0.13,1.35,21.44,2.3,1.08,18.0,1.07,30.0,71.0,550.0,14.0,0.35,0.107,0.228,0.5,8.3,0.067,0.048,1.348,0.38,0.354,26.0,0.0,26.0,26.0,15.0,0.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,19.0,0.07,0.0,0.0,2.0,0.032,0.003,0.054,0.0,299.0,"1 potato, large (3"" to 4-1/4"" dia.",173.0,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0.0
2671,POTATOES RUSSET FLESH SKIN RAW,78.58,79,2.14,0.08,1.13,18.07,1.3,0.62,13.0,0.86,23.0,55.0,417.0,5.0,0.29,0.103,0.157,0.4,5.7,0.082,0.033,1.035,0.301,0.345,14.0,0.0,14.0,14.0,12.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01,0.0,0.0,1.8,0.026,0.002,0.043,0.0,75.0,".5 cup, diced",369.0,"1 potato, large (3"" to 4-1/4"" dia)",25.0
2672,POTATOES SCALLOPED DRY MIX PREPARED,79.17,93,2.12,4.3,1.64,12.77,1.1,,36.0,0.38,14.0,56.0,203.0,341.0,0.25,0.049,0.181,1.6,3.3,0.019,0.056,1.029,0.327,0.042,10.0,0.0,10.0,10.0,,0.0,148.0,35.0,33.0,,,,,,,0.0,0.0,,2.633,1.213,0.194,11.0,245.0,"1 cup,  (unprepared)",137.0,".167 package,  (5.5 oz) yields",0.0
2673,POTATOES SCALLOPED DRY MIX UNPREPARED,6.22,358,7.77,4.59,7.49,73.93,8.6,,62.0,2.01,59.0,197.0,905.0,1578.0,0.92,0.26,0.622,7.9,16.5,0.06,0.123,4.533,1.4,0.18,32.0,0.0,32.0,32.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,1.2,0.1,1.985,5.0,26.0,".167 package,  (5.5 oz)",156.0,"1 package,  (5.5 oz)",0.0
2674,POTATOES SCALLOPED HOME PREPARED BUTTER,80.94,88,2.87,3.68,1.73,10.78,1.9,,57.0,0.57,19.0,63.0,378.0,335.0,0.4,0.163,0.166,1.6,10.6,0.069,0.092,1.053,0.514,0.178,11.0,2.0,9.0,13.0,,0.0,135.0,,,,,,,,,0.0,0.0,,2.255,1.039,0.166,12.0,245.0,1 cup,,,0.0
2675,POTATOES SCALLOPED HOME PREPARED MARGARINE,80.94,88,2.87,3.68,1.73,10.78,1.9,,57.0,0.57,19.0,63.0,378.0,335.0,0.4,0.163,0.166,1.6,10.6,0.069,0.092,1.053,0.514,0.178,11.0,2.0,9.0,13.0,,0.0,150.0,33.0,30.0,,30.0,,,,,0.0,0.0,,1.377,1.352,0.746,6.0,245.0,1 cup,,,0.0
2676,POTATOES WHITE FLESH SKIN BAKED,75.43,94,2.1,0.15,1.24,21.08,2.1,1.53,10.0,0.64,27.0,75.0,544.0,7.0,0.35,0.127,0.189,0.5,12.6,0.048,0.043,1.528,0.383,0.211,38.0,0.0,38.0,38.0,14.4,0.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,30.0,0.04,0.0,0.0,2.7,0.022,0.002,0.037,0.0,299.0,"1 potato, large (3"" to 4-1/4"" dia)",173.0,"1 potato, medium (2-1/4"" to 3-1/4"" dia)",0.0
2677,POTATOES WHITE FLESH SKIN RAW,81.58,69,1.68,0.1,0.94,15.71,2.4,1.15,9.0,0.52,21.0,62.0,407.0,16.0,0.29,0.116,0.145,0.3,9.1,0.071,0.034,1.066,0.281,0.203,18.0,0.0,18.0,18.0,11.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.01,0.0,0.0,1.6,0.026,0.002,0.043,0.0,75.0,".5 cup, diced",369.0,"1 large,  (3"" to 4-1/4"" dia.)",25.0
2678,POULTRY MECHANICALLY DEBONED SKIN RAW,62.66,272,11.39,24.73,0.96,0.0,0.0,,138.0,1.57,12.0,132.0,104.0,40.0,1.29,0.065,0.019,10.7,1.5,0.05,0.129,4.63,0.824,0.19,6.0,0.0,6.0,6.0,,0.25,245.0,74.0,74.0,,,,,,,,,,7.45,10.44,4.96,130.0,227.0,.5 lb,,,0.0
2679,POULTRY SALAD SANDWICH SPREAD,66.17,200,11.64,13.52,1.26,7.41,0.0,0.0,10.0,0.61,10.0,33.0,183.0,653.0,1.04,0.03,0.009,10.9,1.0,0.024,0.071,1.669,0.27,0.11,5.0,0.0,5.0,5.0,49.6,0.38,140.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,2.2,0.2,8.0,0.0,3.45,3.25,6.22,30.0,13.0,1 tbsp,28.35,1 oz,0.0
2680,POULTRY SEASONING,9.31,307,9.59,7.53,5.92,65.59,11.3,1.8,996.0,35.3,224.0,171.0,684.0,27.0,3.14,0.843,6.857,7.2,12.0,0.264,0.191,2.97,,1.32,138.0,0.0,138.0,138.0,30.3,0.0,2632.0,132.0,0.0,0.0,1568.0,23.0,7.0,1107.0,1.32,0.0,0.0,805.4,3.29,1.206,1.936,0.0,1.5,1 tsp,4.4,1 tbsp,0.0
2681,POUT OCEAN COOKED DRY HEAT,76.1,102,21.33,1.17,1.45,0.0,0.0,,13.0,0.36,17.0,256.0,513.0,78.0,1.32,0.041,0.019,46.8,0.0,0.092,0.073,2.558,0.173,0.277,8.0,0.0,8.0,8.0,,1.04,46.0,14.0,14.0,,,,,,,,,,0.41,0.422,0.041,67.0,137.0,.5 fillet,85.0,3 oz,0.0
2682,POUT OCEAN RAW,81.36,79,16.64,0.91,1.13,0.0,0.0,,10.0,0.28,13.0,200.0,400.0,61.0,1.03,0.032,0.015,36.5,0.0,0.08,0.06,2.1,0.15,0.24,7.0,0.0,7.0,7.0,,0.9,40.0,12.0,12.0,,,,,,,,,,0.32,0.329,0.032,52.0,85.0,3 oz,176.0,.5 fillet,0.0
2683,PRAIRIE TURNIPS PLAINS INDIANS,60.69,156,2.62,0.36,0.65,35.67,8.0,0.82,130.0,1.27,63.0,31.0,156.0,5.0,0.37,0.053,0.266,14.7,5.5,0.178,0.09,1.071,,0.47,10.0,,10.0,,4.8,,,,,,,,,,,,,0.0,,,,,12.7,"1 bulb, peeled",,,0.0
2684,PREGO PASTA HEART TRADITIONAL S,85.4,54,1.54,1.15,1.7,10.0,2.3,7.7,15.0,0.55,,,292.0,277.0,,,,,1.8,,,,,,,,,,,,385.0,,,,,,,,,,,,0.0,0.769,0.385,0.0,130.0,.5 cup,,,0.0
2685,PRESERVING MELON RAW,96.1,13,0.4,0.2,0.3,3.0,2.9,,19.0,0.4,10.0,19.0,6.0,111.0,0.61,0.023,0.058,0.2,13.0,0.04,0.11,0.4,0.133,0.035,5.0,0.0,5.0,5.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.016,0.037,0.087,0.0,132.0,"1 cup, cubes",5700.0,1 waxgourd,29.0
2686,PRETZELS HARD PLAIN SALTED,3.13,384,10.04,2.93,3.51,80.39,3.4,2.21,27.0,4.58,29.0,128.0,223.0,1240.0,1.04,0.156,1.015,4.4,2.1,0.424,0.332,5.27,0.322,0.074,166.0,0.0,166.0,166.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.47,0.0,0.0,2.8,0.391,0.727,1.291,0.0,28.35,1 oz,60.0,10 twists,0.0
2687,PRETZELS SOFT,15.0,338,8.2,3.1,4.31,69.39,1.7,0.25,23.0,3.92,21.0,79.0,88.0,545.0,0.94,0.126,,17.2,0.0,0.41,0.29,4.27,,0.02,24.0,0.0,24.0,24.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.54,0.0,0.0,2.7,0.695,1.071,0.948,0.0,143.0,1 large,115.0,1 medium,0.0
2688,PRETZELS SOFT UNSALTED,15.0,345,8.2,3.1,2.66,71.04,1.7,0.25,23.0,3.92,21.0,79.0,88.0,252.0,0.94,0.126,,17.2,0.0,0.41,0.29,4.27,,0.02,24.0,0.0,24.0,24.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.54,0.0,0.0,2.7,0.695,1.071,0.948,0.0,143.0,1 large,115.0,1 medium,0.0
2689,PRICKLY PEARS PLAINS INDIANS,89.22,42,0.12,0.11,0.38,10.17,5.3,1.02,180.0,0.2,69.0,11.0,130.0,4.0,0.14,0.019,0.583,0.1,11.0,0.008,0.032,0.293,,0.079,,,,,4.3,,,,,,,,,,,,,2.9,,,,,19.0,"1 pad, peeled",61.0,1 pad,0.0
2690,PRICKLY PEARS RAW,87.55,41,0.73,0.51,1.64,9.57,3.6,,56.0,0.3,85.0,24.0,220.0,5.0,0.12,0.08,,0.6,14.0,0.014,0.06,0.46,,0.06,6.0,0.0,6.0,6.0,,0.0,43.0,2.0,0.0,0.0,25.0,3.0,,,,,,,0.067,0.075,0.213,0.0,149.0,1 cup,103.0,"1 fruit, without refuse",25.0
2691,PRUNE JUICE CANNED,81.24,71,0.61,0.03,0.68,17.45,1.0,16.45,12.0,1.18,14.0,25.0,276.0,4.0,0.21,0.068,0.151,0.6,4.1,0.016,0.07,0.785,0.107,0.218,0.0,0.0,0.0,0.0,2.7,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.12,0.0,0.0,3.4,0.003,0.021,0.007,0.0,256.0,1 cup,32.0,1 fl oz,0.0
2692,PRUNE PUREE,30.0,257,2.1,0.2,2.6,65.1,3.3,39.0,31.0,2.8,,72.0,852.0,23.0,,,,,4.3,0.04,,2.5,0.43,,,,,,,,2000.0,100.0,0.0,,,,,,,,,,0.016,,,0.0,36.0,2 tbsp,,,0.0
2693,PRUNES CANNED HEAVY SYRUP PACK,70.67,105,0.87,0.2,0.46,27.8,3.8,,17.0,0.41,15.0,26.0,226.0,3.0,0.19,0.118,0.098,,2.8,0.034,0.122,0.866,0.1,0.203,0.0,0.0,0.0,0.0,,0.0,797.0,40.0,0.0,,,,,,,0.0,0.0,,0.016,0.13,0.043,0.0,234.0,1 cup,86.0,"5 prunes,  with liquid",12.0
2694,PRUNES MOISTURE STEWED,67.99,113,1.23,0.24,0.83,29.7,,,24.0,1.17,21.0,37.0,353.0,2.0,0.25,0.204,0.104,,0.0,0.046,0.03,0.985,0.108,0.191,0.0,0.0,0.0,0.0,,0.0,523.0,26.0,0.0,,,,,,,0.0,0.0,,0.02,0.161,0.053,0.0,280.0,1 cup,,,0.0
2695,PRUNES MOISTURE UNCOOKED,4.0,339,3.7,0.73,2.5,89.07,,,72.0,3.52,64.0,112.0,1058.0,5.0,0.75,0.611,0.312,,0.0,0.118,0.165,2.995,0.418,0.745,2.0,0.0,2.0,2.0,,0.0,1762.0,88.0,0.0,,,,,,,0.0,0.0,,0.059,0.483,0.159,0.0,132.0,1 cup,,,0.0
